,Date,Dernier,Ouv.,Plus Haut,Plus Bas,bid,ask,bid_rate_local,ask_rate_local,bid_rate_foreign,ask_rate_foreign
312,2001-12-19,1.4461,1.4429,1.4544,1.4392,1.4392,1.4544,6.75,7.0,0.25,0.35
313,2001-12-20,1.4463,1.4428,1.4534,1.4422,1.4422,1.4534,6.75,7.0,0.25,0.35
314,2001-12-21,1.466,1.445,1.47,1.4425,1.4425,1.47,6.75,7.0,0.25,0.35
315,2001-12-24,1.4759,1.4598,1.4818,1.4551,1.4551,1.4818,6.75,7.0,0.25,0.35
316,2001-12-25,1.4727,1.4746,1.4817,1.463,1.463,1.4817,6.75,7.0,0.25,0.35
317,2001-12-26,1.4721,1.4673,1.479,1.4629,1.4629,1.479,6.75,7.0,0.25,0.35
318,2001-12-27,1.4688,1.4702,1.4776,1.4601,1.4601,1.4776,6.75,7.0,0.25,0.35
319,2001-12-28,1.4657,1.4689,1.4793,1.4617,1.4617,1.4793,6.75,7.0,0.25,0.35
320,2001-12-31,1.4544,1.4645,1.4724,1.4506,1.4506,1.4724,6.75,7.0,0.25,0.35
321,2002-01-02,1.4467,1.4604,1.4646,1.433,1.433,1.4646,6.75,7.0,0.25,0.35
322,2002-01-03,1.453,1.443,1.4592,1.4371,1.4371,1.4592,6.75,7.0,0.25,0.35
323,2002-01-04,1.4566,1.4532,1.4626,1.4388,1.4388,1.4626,6.75,7.0,0.25,0.35
324,2002-01-07,1.4579,1.4584,1.4705,1.4498,1.4498,1.4705,6.75,7.0,0.25,0.35
325,2002-01-08,1.4587,1.4567,1.4713,1.4544,1.4544,1.4713,6.75,7.0,0.25,0.35
326,2002-01-09,1.4609999999999999,1.4572,1.4686,1.4521,1.4521,1.4686,6.75,7.0,0.25,0.35
327,2002-01-10,1.4607,1.4605,1.4643,1.4534,1.4534,1.4643,6.75,7.0,0.25,0.35
328,2002-01-11,1.4593,1.4591,1.4651,1.4506,1.4506,1.4651,6.75,7.0,0.25,0.35
329,2002-01-14,1.4564,1.4537,1.4631,1.4489,1.4489,1.4631,6.75,7.0,0.25,0.35
330,2002-01-15,1.4707,1.4533,1.4769,1.4524,1.4524,1.4769,6.75,7.0,0.25,0.35
331,2002-01-16,1.4676,1.4692,1.4777,1.4575,1.4575,1.4777,6.75,7.0,0.25,0.35
332,2002-01-17,1.4705,1.4662,1.4764,1.4624,1.4624,1.4764,6.75,7.0,0.25,0.35
333,2002-01-18,1.4695,1.4693,1.4763,1.4637,1.4637,1.4763,6.75,7.0,0.25,0.35
334,2002-01-21,1.4657,1.4691,1.4731,1.4594,1.4594,1.4731,6.75,7.0,0.25,0.35
335,2002-01-22,1.4654,1.4638,1.4773,1.4612,1.4612,1.4773,6.75,7.0,0.25,0.35
336,2002-01-23,1.479,1.4669999999999999,1.485,1.4583,1.4583,1.485,6.75,7.0,0.25,0.35
337,2002-01-24,1.4784,1.4758,1.4853,1.4672,1.4672,1.4853,6.75,7.0,0.25,0.35
338,2002-01-25,1.4901,1.4764,1.4959,1.4733,1.4733,1.4959,6.75,7.0,0.25,0.35
339,2002-01-28,1.4936,1.4907,1.5016,1.4867,1.4867,1.5016,6.75,7.0,0.25,0.35
340,2002-01-29,1.4909999999999999,1.4922,1.5033,1.4858,1.4858,1.5033,6.75,7.0,0.25,0.35
341,2002-01-30,1.4954,1.4882,1.4996,1.4842,1.4842,1.4996,6.75,7.0,0.25,0.35
342,2002-01-31,1.4969999999999999,1.4928,1.5022,1.4878,1.4878,1.5022,6.75,7.0,0.25,0.35
343,2002-02-01,1.4942,1.4964,1.5041,1.489,1.489,1.5041,6.75,7.0,0.25,0.35
344,2002-02-04,1.4809,1.4942,1.4994,1.4782,1.4782,1.4994,6.75,7.0,0.25,0.35
345,2002-02-05,1.4868,1.4829,1.4918,1.4773,1.4773,1.4918,6.75,7.0,0.25,0.35
346,2002-02-06,1.4875,1.4863,1.4939,1.4797,1.4797,1.4939,6.75,7.0,0.25,0.35
347,2002-02-07,1.4849,1.485,1.4932,1.4781,1.4781,1.4932,6.75,7.0,0.25,0.35
348,2002-02-08,1.4798,1.4805,1.4878,1.4754,1.4754,1.4878,6.75,7.0,0.25,0.35
349,2002-02-11,1.4804,1.4854,1.4869,1.4709999999999999,1.4709999999999999,1.4869,6.75,7.0,0.25,0.35
350,2002-02-12,1.4783,1.4784,1.4844,1.4719,1.4719,1.4844,6.75,7.0,0.25,0.35
351,2002-02-13,1.4837,1.4751,1.4868,1.4739,1.4739,1.4868,6.75,7.0,0.25,0.35
352,2002-02-14,1.4774,1.4796,1.4881,1.4745,1.4745,1.4881,6.75,7.0,0.25,0.35
353,2002-02-15,1.4802,1.4774,1.4861,1.4747,1.4747,1.4861,6.75,7.0,0.25,0.35
354,2002-02-18,1.483,1.4791,1.4864,1.4726,1.4726,1.4864,6.75,7.0,0.25,0.35
355,2002-02-19,1.4773,1.4804,1.4914,1.4688,1.4688,1.4914,6.75,7.0,0.25,0.35
356,2002-02-20,1.4842,1.4713,1.4882,1.4698,1.4698,1.4882,6.75,7.0,0.25,0.35
357,2002-02-21,1.4844,1.4841,1.4899,1.4797,1.4797,1.4899,6.75,7.0,0.25,0.35
358,2002-02-22,1.4785,1.484,1.489,1.4738,1.4738,1.489,6.75,7.0,0.25,0.35
