,Date,Dernier,Ouv.,Plus Haut,Plus Bas,bid,ask,bid_rate,ask_rate,bid_rate_local,ask_rate_local,bid_rate_foreign,ask_rate_foreign
2573,2009-12-25,0.29,0.24,0.29,0.24,0.24,0.29,6.75,7.0,6.75,7.0,0.1,0.25
2574,2009-12-28,1.8996,1.8965,1.905,1.8795,1.8795,1.905,6.75,7.0,6.75,7.0,0.1,0.25
2575,2009-12-29,1.9027,1.8979,1.9045,1.8911,1.8911,1.9045,6.75,7.0,6.75,7.0,0.1,0.25
2576,2009-12-30,1.8971,1.8971,1.8971,1.8971,1.8971,1.8971,6.75,7.0,6.75,7.0,0.1,0.25
2577,2009-12-31,0.31,0.2,0.36,0.1,0.1,0.36,6.75,7.0,6.75,7.0,0.1,0.25
2578,2010-01-01,0.29,0.24,0.29,0.2,0.2,0.29,6.75,7.0,6.75,7.0,0.1,0.25
2579,2010-01-04,1.9005,1.8981,1.9025,1.8753,1.8753,1.9025,6.75,7.0,6.75,7.0,0.1,0.25
2580,2010-01-05,1.8927,1.9005,1.9066,1.8909,1.8909,1.9066,6.75,7.0,6.75,7.0,0.1,0.25
2581,2010-01-06,1.8980000000000001,1.8958,1.9049,1.8769999999999998,1.8769999999999998,1.9049,6.75,7.0,6.75,7.0,0.1,0.25
2582,2010-01-07,1.892,1.8949,1.8975,1.8784,1.8784,1.8975,6.75,7.0,6.75,7.0,0.1,0.25
2583,2010-01-08,1.8814,1.892,1.8966,1.8779,1.8779,1.8966,6.75,7.0,6.75,7.0,0.1,0.25
2584,2010-01-11,1.9008,1.8932,1.9051,1.8832,1.8832,1.9051,6.75,7.0,6.75,7.0,0.1,0.25
2585,2010-01-12,1.8987,1.8999,1.9029,1.8852,1.8852,1.9029,6.75,7.0,6.75,7.0,0.1,0.25
2586,2010-01-13,1.8979,1.8982,1.9032,1.8853,1.8853,1.9032,6.75,7.0,6.75,7.0,0.1,0.25
2587,2010-01-14,1.8991,1.9003,1.9033,1.8863,1.8863,1.9033,6.75,7.0,6.75,7.0,0.1,0.25
2588,2010-01-15,1.8916,1.8939,1.8982,1.8811,1.8811,1.8982,6.75,7.0,6.75,7.0,0.1,0.25
2589,2010-01-18,1.8928,1.893,1.8981,1.8865,1.8865,1.8981,6.75,7.0,6.75,7.0,0.1,0.25
2590,2010-01-19,1.8885,1.8957,1.8967,1.8832,1.8832,1.8967,6.75,7.0,6.75,7.0,0.1,0.25
2591,2010-01-20,1.8857,1.8857,1.8916,1.8854,1.8854,1.8916,6.75,7.0,6.75,7.0,0.1,0.25
2592,2010-01-21,1.8866,1.8840000000000001,1.8892,1.8812,1.8812,1.8892,6.75,7.0,6.75,7.0,0.1,0.25
2593,2010-01-22,1.8895,1.8886,1.9003,1.8834,1.8834,1.9003,6.75,7.0,6.75,7.0,0.1,0.25
2594,2010-01-25,1.8911,1.8917,1.8961,1.886,1.886,1.8961,6.75,7.0,6.75,7.0,0.1,0.25
2595,2010-01-26,1.8892,1.8926,1.8926,1.8864,1.8864,1.8926,6.75,7.0,6.75,7.0,0.1,0.25
2596,2010-01-27,1.8879,1.8879,1.8879,1.8879,1.8879,1.8879,6.75,7.0,6.75,7.0,0.1,0.25
2597,2010-01-28,1.8846,1.8848,1.8905,1.8845,1.8845,1.8905,6.75,7.0,6.75,7.0,0.1,0.25
2598,2010-01-29,1.8880000000000001,1.886,1.8882,1.886,1.886,1.8882,6.75,7.0,6.75,7.0,0.1,0.25
2599,2010-02-01,1.8872,1.8872,1.8872,1.8872,1.8872,1.8872,6.75,7.0,6.75,7.0,0.1,0.25
2600,2010-02-02,1.892,1.8892,1.8971,1.8892,1.8892,1.8971,6.75,7.0,6.75,7.0,0.1,0.25
2601,2010-02-03,1.8915,1.8924,1.8982,1.8914,1.8914,1.8982,6.75,7.0,6.75,7.0,0.1,0.25
2602,2010-02-04,1.8897,1.8914,1.8919,1.8809,1.8809,1.8919,6.75,7.0,6.75,7.0,0.1,0.25
2603,2010-02-05,1.8823,1.8863,1.895,1.8762,1.8762,1.895,6.75,7.0,6.75,7.0,0.1,0.25
2604,2010-02-08,1.8864,1.8859,1.8925,1.8832,1.8832,1.8925,6.75,7.0,6.75,7.0,0.1,0.25
2605,2010-02-09,1.8941,1.8909,1.9005,1.8847,1.8847,1.9005,6.75,7.0,6.75,7.0,0.1,0.25
2606,2010-02-10,1.8873,1.8888,1.8939,1.8823,1.8823,1.8939,6.75,7.0,6.75,7.0,0.1,0.25
2607,2010-02-11,1.8876,1.8921,1.8947,1.8861,1.8861,1.8947,6.75,7.0,6.75,7.0,0.1,0.25
